time(msec), lat(ns), read0_write1, offset
82750, 60456, 1, 0
83250, 40934, 0, 0
83750, 128765, 0, 0
83750, 46189, 1, 0
84250, 105899, 0, 0
84500, 105766, 0, 0
84750, 156713, 0, 0
84750, 46546, 1, 0
85750, 116721, 0, 0
85750, 37703, 1, 0
86000, 120484, 0, 0
86000, 41622, 1, 0
86250, 75268, 1, 0
86250, 89533, 0, 0
86375, 136890, 0, 0
86875, 110753, 0, 0
87000, 129424, 0, 0
87250, 65339, 1, 0
87500, 129776, 0, 0
87750, 51285, 1, 0
87750, 180861, 0, 0
87875, 75644, 1, 0
88750, 223926, 0, 0
88875, 68168, 1, 0
89375, 60188, 1, 0
89750, 124343, 0, 0
89875, 80896, 1, 0
90000, 115052, 0, 0
90250, 105928, 0, 0
90750, 117163, 0, 0
90875, 56616, 1, 0
90875, 101761, 0, 0
91000, 115928, 0, 0
91125, 105853, 0, 0
91125, 37841, 1, 0
91375, 131856, 0, 0
91375, 36178, 1, 0
91625, 49153, 1, 0
91750, 48222, 1, 0
91875, 120440, 0, 0
91875, 40597, 1, 0
92125, 112160, 0, 0
92125, 34658, 1, 0
92375, 58517, 1, 0
92375, 154807, 0, 0
92625, 63062, 1, 0
93375, 142143, 0, 0
93625, 66311, 1, 0
93875, 120476, 0, 0
94125, 106573, 0, 0
94125, 35210, 1, 0
94375, 205838, 0, 0
94375, 40394, 1, 0
94625, 81079, 1, 0
95375, 196909, 0, 0
95625, 84998, 1, 0
96375, 106805, 0, 0
96625, 58020, 1, 0
96625, 120148, 0, 0
96875, 44740, 1, 0
96875, 97878, 0, 0
97125, 56117, 1, 0
97375, 136872, 0, 0
97375, 31798, 1, 0
97500, 69397, 1, 0
97625, 104958, 0, 0
97750, 98530, 1, 0
98125, 151622, 0, 0
98375, 130104, 0, 0
98750, 63980, 1, 0
98875, 112712, 0, 0
99125, 53844, 0, 0
99250, 120900, 0, 0
99250, 38622, 1, 0
99375, 55644, 1, 0
99500, 112834, 0, 0
99625, 76088, 1, 0
99750, 97084, 0, 0
99875, 168897, 0, 0
100625, 84090, 1, 0
100875, 105974, 0, 0
101125, 99249, 0, 0
101250, 104592, 0, 0
101375, 71820, 0, 0
101625, 80267, 1, 0
102375, 198359, 0, 0
102625, 56588, 1, 0
102750, 80143, 1, 0
103375, 194671, 0, 0
103750, 57072, 1, 0
104000, 76579, 1, 0
104250, 44388, 1, 0
104375, 82389, 0, 0
104500, 56329, 1, 0
104500, 105560, 0, 0
104750, 68503, 1, 0
104750, 266368, 0, 0
105000, 107686, 0, 0
105250, 107101, 0, 0
105250, 27952, 1, 0
105500, 81178, 1, 0
105500, 90831, 0, 0
105625, 123926, 0, 0
105875, 121181, 0, 0
106000, 56242, 1, 0
106125, 49785, 1, 0
106125, 109594, 0, 0
106250, 49924, 1, 0
106386, 11927715, 1, 0
106396, 9101941, 0, 0
106875, 126147, 0, 0
106875, 47202, 1, 0
107375, 103841, 0, 0
107375, 40633, 1, 0
107500, 112273, 0, 0
107625, 72468, 1, 0
107625, 103916, 0, 0
108125, 195885, 0, 0
108625, 64904, 1, 0
108875, 72884, 1, 0
109125, 121803, 0, 0
109375, 201708, 0, 0
109875, 86911, 1, 0
110375, 65024, 1, 0
110375, 181713, 0, 0
110875, 25896, 1, 0
111000, 23831, 1, 0
111250, 54706, 1, 0
111375, 121245, 0, 0
111500, 58100, 1, 0
111625, 105313, 0, 0
111750, 58909, 1, 0
111875, 80535, 0, 0
112000, 122632, 0, 0
