time(msec), BW(kbps), read0_write1, offset
91500, 64, 0, 0
91500, 32, 1, 0
91750, 32, 1, 0
92000, 32, 0, 0
92000, 32, 1, 0
92250, 32, 0, 0
92250, 32, 1, 0
92500, 128, 0, 0
92500, 32, 1, 0
92750, 128, 1, 0
93500, 64, 0, 0
93750, 64, 1, 0
94000, 32, 0, 0
94250, 32, 0, 0
94250, 32, 1, 0
94500, 128, 0, 0
94500, 32, 1, 0
94750, 128, 1, 0
95500, 128, 0, 0
95750, 128, 1, 0
96500, 32, 0, 0
96750, 32, 0, 0
96750, 32, 1, 0
97000, 64, 0, 0
97000, 32, 1, 0
97250, 32, 1, 0
97500, 32, 0, 0
97500, 48, 1, 0
97750, 64, 0, 0
98000, 128, 1, 0
98250, 32, 0, 0
98500, 64, 0, 0
98750, 64, 1, 0
99000, 32, 0, 0
99250, 48, 0, 0
99250, 16, 1, 0
99500, 32, 0, 0
99500, 32, 1, 0
99750, 16, 0, 0
99750, 128, 1, 0
100000, 128, 0, 0
100750, 128, 1, 0
101000, 32, 0, 0
101250, 32, 0, 0
101500, 128, 0, 0
101750, 128, 1, 0
102500, 128, 0, 0
102750, 16, 1, 0
103000, 128, 1, 0
103500, 128, 0, 0
103750, 32, 1, 0
104000, 32, 1, 0
104250, 32, 1, 0
104500, 48, 0, 0
104500, 32, 1, 0
104750, 32, 0, 0
104750, 64, 1, 0
105250, 64, 0, 0
105250, 32, 1, 0
105500, 16, 0, 0
105500, 64, 1, 0
105750, 32, 0, 0
106000, 32, 0, 0
106000, 16, 1, 0
106250, 32, 0, 0
106250, 32, 1, 0
106500, 64, 0, 0
106500, 64, 1, 0
107000, 64, 0, 0
107000, 64, 1, 0
107500, 32, 0, 0
107500, 32, 1, 0
107750, 64, 0, 0
107750, 128, 1, 0
108250, 128, 0, 0
108750, 32, 1, 0
109000, 128, 1, 0
109250, 32, 0, 0
109500, 128, 0, 0
110001, 63, 1, 0
110500, 128, 0, 0
110500, 64, 1, 0
111000, 48, 1, 0
111250, 32, 1, 0
111500, 32, 0, 0
111500, 32, 1, 0
111750, 32, 0, 0
111750, 32, 1, 0
112000, 48, 0, 0
112000, 64, 1, 0
112250, 16, 0, 0
112500, 64, 0, 0
112500, 128, 1, 0
113000, 64, 0, 0
113500, 128, 0, 0
113750, 128, 1, 0
114500, 48, 0, 0
114500, 32, 1, 0
114750, 16, 0, 0
114750, 32, 1, 0
115000, 64, 0, 0
115000, 32, 1, 0
115500, 32, 0, 0
115500, 64, 1, 0
115750, 64, 0, 0
115750, 32, 1, 0
116001, 31, 1, 0
116250, 32, 0, 0
116250, 128, 1, 0
116500, 128, 0, 0
117250, 64, 1, 0
117500, 128, 0, 0
117750, 16, 1, 0
118000, 32, 1, 0
118250, 32, 1, 0
118500, 32, 0, 0
118500, 128, 1, 0
118750, 128, 0, 0
119500, 128, 1, 0
119750, 32, 0, 0
120000, 32, 0, 0
120250, 128, 0, 0
120500, 32, 1, 0
120750, 128, 1, 0
121250, 32, 0, 0
121500, 128, 0, 0
121750, 128, 1, 0
122500, 32, 0, 0
122750, 48, 0, 0
122750, 16, 1, 0
123000, 64, 0, 0
123000, 128, 1, 0
123500, 16, 0, 0
123750, 128, 0, 0
123750, 16, 1, 0
124000, 128, 1, 0
124750, 64, 0, 0
125000, 144, 1, 0
